Time [s],V [mV]
3.166666667,78.2014
3.183333333,63.5386
3.2,68.4262
3.216666667,68.4262
3.233333333,68.4262
3.25,73.3138
3.266666667,73.3138
3.283333333,68.4262
3.3,73.3138
3.316666667,78.2014
3.333333333,83.089
3.35,83.089
3.366666667,87.9765
3.383333333,92.8641
3.4,97.7517
3.416666667,107.5269
3.433333333,112.4145
3.45,122.1896
3.466666667,117.3021
3.483333333,112.4145
3.5,112.4145
3.516666667,102.6393
3.533333333,102.6393
3.55,117.3021
3.566666667,141.74
3.583333333,171.0655
3.6,195.5034
3.616666667,224.8289
3.633333333,239.4917
3.65,254.1544
3.666666667,283.48
3.683333333,327.4682
3.7,381.2317
3.716666667,405.6696
3.733333333,425.2199
3.75,434.9951
3.766666667,449.6579
3.783333333,474.0958
3.8,518.0841
3.816666667,562.0723
3.833333333,562.0723
3.85,542.522
3.866666667,542.522
3.883333333,562.0723
3.9,586.5103
3.916666667,635.3861
3.933333333,679.3744
3.95,713.5875
3.966666667,728.2502
3.983333333,718.4751
4,718.4751
4.016666667,718.4751
4.033333333,728.2502
4.05,757.5758
4.066666667,845.5523
4.083333333,948.1916
4.1,1060.6061
4.116666667,1148.5826
4.133333333,1251.2219
4.15,1358.7488
4.166666667,1417.3998
4.183333333,1383.1867
4.2,1226.784
4.216666667,977.5171
4.233333333,698.9247
4.25,454.5455
4.266666667,268.8172
4.283333333,146.6276
4.3,97.7517
4.316666667,117.3021
4.333333333,175.9531
4.35,259.042
4.366666667,327.4682
4.383333333,351.9062
4.4,356.7937
4.416666667,337.2434
4.433333333,342.131
4.45,356.7937
4.466666667,381.2317
4.483333333,425.2199
4.5,483.871
4.516666667,532.7468
4.533333333,547.4096
4.55,542.522
4.566666667,527.8592
4.583333333,508.3089
4.6,498.5337
4.616666667,493.6461
4.633333333,474.0958
4.65,469.2082
4.666666667,474.0958
4.683333333,498.5337
4.7,542.522
4.716666667,610.9482
4.733333333,679.3744
4.75,698.9247
4.766666667,708.6999
4.783333333,728.2502
4.8,742.913
4.816666667,772.2385
4.833333333,816.2268
4.85,865.1026
4.866666667,923.7537
4.883333333,1021.5054
4.9,1138.8074
4.916666667,1212.1212
4.933333333,1260.9971
4.95,1265.8847
4.966666667,1236.5591
4.983333333,1177.9081
5,1143.695
5.016666667,1143.695
5.033333333,1158.3578
5.05,1177.9081
5.066666667,1217.0088
5.083333333,1246.3343
5.1,1280.5474
5.116666667,1314.7605
5.133333333,1344.086
5.15,1353.8612
5.166666667,1373.4115
5.183333333,1397.8495
5.2,1427.175
5.216666667,1476.0508
5.233333333,1564.0274
5.25,1720.4301
5.266666667,1920.8211
5.283333333,2126.0997
5.3,2248.2893
5.316666667,2326.4907
5.333333333,2414.4673
5.35,2517.1065
5.366666667,2614.8583
5.383333333,2644.1838
5.4,2634.4086
5.416666667,2473.1183
5.433333333,2135.8749
5.45,1686.217
5.466666667,1202.346
5.483333333,782.0137
5.5,469.2082
5.516666667,263.9296
5.533333333,146.6276
5.55,97.7517
5.566666667,92.8641
5.583333333,97.7517
5.6,107.5269
5.616666667,117.3021
5.633333333,131.9648
5.65,171.0655
5.666666667,215.0538
5.683333333,263.9296
5.7,307.9179
5.716666667,342.131
5.733333333,376.3441
5.75,391.0068
5.766666667,400.782
5.783333333,376.3441
5.8,356.7937
5.816666667,307.9179
5.833333333,259.042
5.85,224.8289
5.866666667,205.2786
5.883333333,195.5034
5.9,229.7165
5.916666667,283.48
5.933333333,342.131
5.95,400.782
5.966666667,430.1075
5.983333333,454.5455
6,459.433
6.016666667,464.3206
6.033333333,444.7703
6.05,420.3324
6.066666667,415.4448
6.083333333,430.1075
6.1,464.3206
6.116666667,518.0841
6.133333333,571.8475
6.15,635.3861
6.166666667,674.4868
6.183333333,698.9247
6.2,733.1378
6.216666667,752.6882
6.233333333,796.6764
6.25,850.4399
6.266666667,884.653
6.283333333,918.8661
6.3,957.9668
6.316666667,977.5171
6.333333333,967.7419
6.35,948.1916
6.366666667,938.4164
6.383333333,933.5288
6.4,953.0792
6.416666667,1089.9316
6.433333333,1256.1095
6.45,1417.3998
6.466666667,1573.8025
6.483333333,1652.0039
6.5,1661.7791
6.516666667,1627.566
6.533333333,1461.3881
6.55,1148.5826
6.566666667,806.4516
6.583333333,513.1965
6.6,298.1427
6.616666667,156.4027
6.633333333,78.2014
6.65,68.4262
6.666666667,63.5386
6.683333333,68.4262
6.7,68.4262
6.716666667,78.2014
6.733333333,92.8641
6.75,117.3021
6.766666667,151.5152
6.783333333,166.1779
6.8,161.2903
6.816666667,141.74
6.833333333,117.3021
6.85,102.6393
6.866666667,87.9765
6.883333333,83.089
6.9,73.3138
6.916666667,68.4262
6.933333333,68.4262
6.95,73.3138
6.966666667,68.4262
6.983333333,68.4262
7,73.3138
7.016666667,68.4262
7.033333333,73.3138
7.05,78.2014
7.066666667,78.2014
7.083333333,83.089
7.1,97.7517
7.116666667,117.3021
7.133333333,151.5152
7.15,195.5034
7.166666667,219.9413
7.183333333,224.8289
7.2,215.0538
7.216666667,205.2786
7.233333333,195.5034
7.25,180.8407
7.266666667,166.1779
7.283333333,146.6276
7.3,151.5152
7.316666667,175.9531
7.333333333,210.1662
7.35,254.1544
7.366666667,283.48
7.383333333,298.1427
7.4,283.48
7.416666667,263.9296
7.433333333,268.8172
7.45,307.9179
7.466666667,361.6813
7.483333333,400.782
7.5,415.4448
7.516666667,430.1075
7.533333333,449.6579
7.55,508.3089
7.566666667,610.9482
7.583333333,679.3744
7.6,738.0254
7.616666667,889.5406
7.633333333,1270.7722
7.65,1270.7722
7.666666667,1045.9433
7.683333333,762.4633
7.7,498.5337
7.716666667,303.0303
7.733333333,161.2903
7.75,83.089
7.766666667,73.3138
7.783333333,63.5386
7.8,68.4262
7.816666667,68.4262
7.833333333,68.4262
7.85,68.4262
7.866666667,68.4262
7.883333333,73.3138
7.9,78.2014
7.916666667,87.9765
7.933333333,97.7517
7.95,107.5269
7.966666667,127.0772
7.983333333,156.4027
8,205.2786
8.016666667,254.1544
8.033333333,273.7048
8.05,273.7048
